Fahrenheit,Date
84,2014-06-15
90,2014-06-16
97,2014-06-17
95,2014-06-18
87,2014-06-19
87,2014-06-20
75,2014-06-21
82,2014-06-22
85,2014-06-23
87,2014-06-24
89,2014-06-25
89,2014-06-26
88,2014-06-27
87,2014-06-28
87,2014-06-29
89,2014-06-30
-,2014-06-31
93,2014-07-01
99,2014-07-02
92,2014-07-03
83,2014-07-04
86,2014-07-05
89,2014-07-06
94,2014-07-07
96,2014-07-08
89,2014-07-09
87,2014-07-10
89,2014-07-11
90,2014-07-12
94,2014-07-13
93,2014-07-14
89,2014-07-15
82,2014-07-16
83,2014-07-17
86,2014-07-18
84,2014-07-19
85,2014-07-20
86,2014-07-21
88,2014-07-22
94,2014-07-23
83,2014-07-24
85,2014-07-25
88,2014-07-26
87,2014-07-27
86,2014-07-28
78,2014-07-29
80,2014-07-30
89,2014-07-31
80,2014-08-01
84,2014-08-02
85,2014-08-03
89,2014-08-04
92,2014-08-05
85,2014-08-06
87,2014-08-07
84,2014-08-08
87,2014-08-09
88,2014-08-10
85,2014-08-11
78,2014-08-12
86,2014-08-13
85,2014-08-14
82,2014-08-15
85,2014-08-16
88,2014-08-17
84,2014-08-18
86,2014-08-19
89,2014-08-20
90,2014-08-21
84,2014-08-22
76,2014-08-23
82,2014-08-24
84,2014-08-25
89,2014-08-26
89,2014-08-27
86,2014-08-28
84,2014-08-29
86,2014-08-30
96,2014-08-31
95,2014-09-01
95,2014-09-02
89,2014-09-03
91,2014-09-04
93,2014-09-05
95,2014-09-06
84,2014-09-07
77,2014-09-08
79,2014-09-09
83,2014-09-10
91,2014-09-11
80,2014-09-12
73,2014-09-13
74,2014-09-14
77,2014-09-15
80,2014-09-16
79,2014-09-17
81,2014-09-18
78,2014-09-19
84,2014-09-20
86,2014-09-21
76,2014-09-22
75,2014-09-23
73,2014-09-24
69,2014-09-25
78,2014-09-26
85,2014-09-27
82,2014-09-28
74,2014-09-29
79,2014-09-30
-,2014-09-31
77,2014-10-01
78,2014-10-02
73,2014-10-03
72,2014-10-04
65,2014-10-05
77,2014-10-06
75,2014-10-07
80,2014-10-08
75,2014-10-09
66,2014-10-10
61,2014-10-11
65,2014-10-12
68,2014-10-13
82,2014-10-14
80,2014-10-15
68,2014-10-16
75,2014-10-17
74,2014-10-18
62,2014-10-19
70,2014-10-20
73,2014-10-21
58,2014-10-22
68,2014-10-23
71,2014-10-24
74,2014-10-25
73,2014-10-26
71,2014-10-27
80,2014-10-28
70,2014-10-29
63,2014-10-30
59,2014-10-31
54,2014-11-01
53,2014-11-02
66,2014-11-03
69,2014-11-04
68,2014-11-05
65,2014-11-06
58,2014-11-07
54,2014-11-08
61,2014-11-09
66,2014-11-10
71,2014-11-11
68,2014-11-12
48,2014-11-13
45,2014-11-14
47,2014-11-15
48,2014-11-16
52,2014-11-17
42,2014-11-18
40,2014-11-19
56,2014-11-20
40,2014-11-21
52,2014-11-22
57,2014-11-23
74,2014-11-24
69,2014-11-25
51,2014-11-26
49,2014-11-27
42,2014-11-28
49,2014-11-29
66,2014-11-30
-,2014-11-31
70,2014-12-01
46,2014-12-02
55,2014-12-03
47,2014-12-04
44,2014-12-05
53,2014-12-06
50,2014-12-07
38,2014-12-08
47,2014-12-09
51,2014-12-10
45,2014-12-11
47,2014-12-12
49,2014-12-13
57,2014-12-14
58,2014-12-15
50,2014-12-16
58,2014-12-17
43,2014-12-18
43,2014-12-19
39,2014-12-20
45,2014-12-21
40,2014-12-22
48,2014-12-23
59,2014-12-24
61,2014-12-25
51,2014-12-26
60,2014-12-27
58,2014-12-28
48,2014-12-29
45,2014-12-30
39,2014-12-31
